employee_id,full_name,first_name,last_name,gender,department,level,job_title,location,hire_date,termination_date,is_active,tenure_years,manager_id,birth_date
E10001,Mark Johnson,Mark,Johnson,Male,Consulting,IC1,Analyst,Boston,2022-11-17,,True,3.48,E10334,1999-11-23
E10002,Denise Walker,Denise,Walker,Female,Consulting,IC1,Analyst,Boston,2024-02-17,,True,2.23,E10279,1994-02-24
E10003,Noah Rhodes,Noah,Rhodes,Male,Consulting,IC1,Analyst,San Francisco,2022-06-29,,True,3.87,E10328,1995-07-06
E10004,Stephanie Miller,Stephanie,Miller,Female,Consulting,IC1,Analyst,New York,2019-03-22,,True,7.14,E10315,1992-03-28
E10005,Jennifer Johnson,Jennifer,Johnson,Female,Consulting,IC1,Analyst,San Francisco,2024-04-09,,True,2.09,E10325,2001-04-15
E10006,Daniel Wagner,Daniel,Wagner,Male,Consulting,IC1,Analyst,New York,2024-04-09,,True,2.09,E10300,1976-04-21
E10007,Alexander Gonzalez,Alexander,Gonzalez,Male,Consulting,IC1,Analyst,Atlanta,2018-12-08,,True,7.42,E10343,1996-12-13
E10008,Marie Gardner,Marie,Gardner,Female,Consulting,IC1,Analyst,Chicago,2022-02-25,,True,4.21,E10274,1973-03-09
E10009,Connie Lawrence,Connie,Lawrence,Female,Consulting,IC1,Analyst,New York,2024-08-03,,True,1.77,E10297,1981-08-14
E10010,Rhonda Smith,Rhonda,Smith,Female,Consulting,IC1,Analyst,Atlanta,2022-10-07,,True,3.59,E10335,1978-10-18
E10011,Robert Wolfe,Robert,Wolfe,Male,Consulting,IC1,Analyst,Boston,2024-07-31,,True,1.78,E10283,2000-08-06
E10012,Gerald Moore,Gerald,Moore,Male,Consulting,IC1,Analyst,New York,2024-08-02,,True,1.77,E10304,1978-08-14
E10013,Tina Rogers,Tina,Rogers,Female,Consulting,IC1,Analyst,San Francisco,2023-06-13,,True,2.91,E10302,1978-06-24
E10014,Brandon Davis,Brandon,Davis,Male,Consulting,IC1,Analyst,Boston,2025-09-18,,True,0.64,E10310,2001-09-24
E10015,Ryan Munoz,Ryan,Munoz,Male,Consulting,IC1,Analyst,Atlanta,2025-08-16,,True,0.73,E10337,1998-08-23
E10016,Robert Blair,Robert,Blair,Male,Consulting,IC1,Analyst,New York,2024-09-13,,True,1.66,E10275,1978-09-25
E10017,Joshua Dudley,Joshua,Dudley,Male,Consulting,IC1,Analyst,New York,2025-02-24,,True,1.21,E10317,1980-03-07
E10018,Jamie Arnold,Jamie,Arnold,Female,Consulting,IC1,Analyst,Boston,2023-04-19,,True,3.06,E10278,1984-04-28
E10019,Ronald Montgomery,Ronald,Montgomery,Male,Consulting,IC1,Analyst,San Francisco,2025-01-21,,True,1.3,E10331,1999-01-28
E10020,Shannon Ray,Shannon,Ray,Female,Consulting,IC1,Analyst,New York,2025-06-11,,True,0.91,E10338,1988-06-20
E10021,Michele Williams,Michele,Williams,Female,Consulting,IC1,Analyst,Boston,2019-07-03,,True,6.86,E10275,1983-07-12
E10022,Darren Roberts,Darren,Roberts,Male,Consulting,IC1,Analyst,New York,2024-04-05,,True,2.1,E10315,1999-04-12
E10023,Angela Hall,Angela,Hall,Female,Consulting,IC1,Analyst,Chicago,2023-10-13,,True,2.58,E10288,1981-10-23
E10024,Ashlee Ramirez,Ashlee,Ramirez,Female,Consulting,IC1,Analyst,New York,2025-06-14,,True,0.91,E10279,1983-06-25
E10025,Madison Diaz,Madison,Diaz,Female,Consulting,IC1,Analyst,New York,2024-09-05,,True,1.68,E10318,1973-09-18
